"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
17	0.864801864801865	11	11	"Sleep"	"Yes"	0.1
18	0.87984496124031	11	11	"Sleep"	"Yes"	0.1
19	0.918981481481482	11	11	"Sleep"	"Yes"	0.1
20	0.879659456971928	11	11	"Sleep"	"Yes"	0.1
21	0.875990675990676	11	11	"Sleep"	"Yes"	0.1
22	0.893424036281179	11	11	"Sleep"	"Yes"	0.1
23	0.873892773892774	11	11	"Sleep"	"Yes"	0.1
24	0.818139097744361	9	11	"Sleep"	"Yes"	0.1
25	0.92911877394636	11	11	"Sleep"	"Yes"	0.1
26	0.9	11	11	"Sleep"	"Yes"	0.1
27	0.8995337995338	11	11	"Sleep"	"Yes"	0.1
28	0.915229885057471	11	11	"Sleep"	"Yes"	0.1
29	0.841258741258741	11	11	"Sleep"	"Yes"	0.1
30	0.945508435932513	11	11	"Sleep"	"Yes"	0.1
1	0.909961685823755	12	12	"Sleep"	"Yes"	0.1
2	0.933333333333333	12	12	"Sleep"	"Yes"	0.1
3	0.912354312354312	11	12	"Sleep"	"Yes"	0.1
4	0.938014527845036	11	12	"Sleep"	"Yes"	0.1
5	0.894266917293233	11	12	"Sleep"	"Yes"	0.1
6	0.895545314900154	10	12	"Sleep"	"Yes"	0.1
7	0.888572783309625	12	12	"Sleep"	"Yes"	0.1
8	0.904468764249886	11	12	"Sleep"	"Yes"	0.1
9	0.881340579710145	9	12	"Sleep"	"Yes"	0.1
10	0.854793233082707	12	12	"Sleep"	"Yes"	0.1
11	0.860544217687075	11	12	"Sleep"	"Yes"	0.1
12	0.877622377622378	12	12	"Sleep"	"Yes"	0.1
13	0.875740994072047	11	12	"Sleep"	"Yes"	0.1
14	0.894474637681159	12	12	"Sleep"	"Yes"	0.1
15	0.923534798534799	11	12	"Sleep"	"Yes"	0.1
16	0.885181776346065	10	12	"Sleep"	"Yes"	0.1
17	0.879800853485064	12	12	"Sleep"	"Yes"	0.1
18	0.849928876244666	12	12	"Sleep"	"Yes"	0.1
19	0.848979591836735	10	12	"Sleep"	"Yes"	0.1
20	0.909961685823755	10	12	"Sleep"	"Yes"	0.1
21	0.853703703703704	11	12	"Sleep"	"Yes"	0.1
22	0.923244552058111	10	12	"Sleep"	"Yes"	0.1
23	0.85181598062954	10	12	"Sleep"	"Yes"	0.1
24	0.871028923660503	11	12	"Sleep"	"Yes"	0.1
25	0.856944444444444	11	12	"Sleep"	"Yes"	0.1
26	0.860454545454545	12	12	"Sleep"	"Yes"	0.1
27	0.891016871865025	11	12	"Sleep"	"Yes"	0.1
28	0.909200968523002	12	12	"Sleep"	"Yes"	0.1
29	0.894172494172494	10	12	"Sleep"	"Yes"	0.1
30	0.913919413919414	11	12	"Sleep"	"Yes"	0.1
