"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
17	0.897374001996008	12	12	"Churn"	"Yes"	0
18	0.892264494923284	12	12	"Churn"	"Yes"	0
19	0.883291759053954	12	12	"Churn"	"Yes"	0
20	0.947095022624434	12	12	"Churn"	"Yes"	0
21	0.892119509441708	12	12	"Churn"	"Yes"	0
22	0.93355930335097	12	12	"Churn"	"Yes"	0
23	0.926650668736987	12	12	"Churn"	"Yes"	0
24	0.904441194581281	12	12	"Churn"	"Yes"	0
25	0.926217983984351	12	12	"Churn"	"Yes"	0
26	0.906270424836601	12	12	"Churn"	"Yes"	0
27	0.938938210227273	12	12	"Churn"	"Yes"	0
28	0.922044995815488	12	12	"Churn"	"Yes"	0
29	0.892616838321026	12	12	"Churn"	"Yes"	0
30	0.918193342151675	12	12	"Churn"	"Yes"	0
1	0.878682399213373	13	13	"Churn"	"Yes"	0
2	0.886039983568397	13	13	"Churn"	"Yes"	0
3	0.903674424487731	13	13	"Churn"	"Yes"	0
4	0.8994836786565	13	13	"Churn"	"Yes"	0
5	0.934741430462367	13	13	"Churn"	"Yes"	0
6	0.914174655132102	13	13	"Churn"	"Yes"	0
7	0.904394909983025	13	13	"Churn"	"Yes"	0
8	0.895524624754232	13	13	"Churn"	"Yes"	0
9	0.875510104935873	13	13	"Churn"	"Yes"	0
10	0.888030548542287	13	13	"Churn"	"Yes"	0
11	0.906377775230234	13	13	"Churn"	"Yes"	0
12	0.873627726086742	13	13	"Churn"	"Yes"	0
13	0.890481809242871	13	13	"Churn"	"Yes"	0
14	0.89683078847481	13	13	"Churn"	"Yes"	0
15	0.938120414328873	13	13	"Churn"	"Yes"	0
16	0.885487689393939	13	13	"Churn"	"Yes"	0
17	0.896869453345563	13	13	"Churn"	"Yes"	0
18	0.914221556886228	13	13	"Churn"	"Yes"	0
19	0.952959028831563	13	13	"Churn"	"Yes"	0
20	0.907809035476718	13	13	"Churn"	"Yes"	0
21	0.917496988165261	13	13	"Churn"	"Yes"	0
22	0.940668095704214	13	13	"Churn"	"Yes"	0
23	0.900255738522954	13	13	"Churn"	"Yes"	0
24	0.898585026683087	13	13	"Churn"	"Yes"	0
25	0.907155308927835	13	13	"Churn"	"Yes"	0
26	0.895572916666667	13	13	"Churn"	"Yes"	0
27	0.856689339702431	13	13	"Churn"	"Yes"	0
28	0.905697386319471	13	13	"Churn"	"Yes"	0
29	0.916947209653092	13	13	"Churn"	"Yes"	0
30	0.916997354497355	13	13	"Churn"	"Yes"	0
1	0.894781326427852	14	14	"Churn"	"Yes"	0
2	0.890653871027347	14	14	"Churn"	"Yes"	0
3	0.925081833060556	13	14	"Churn"	"Yes"	0
4	0.909270564985708	14	14	"Churn"	"Yes"	0
5	0.87027669992609	14	14	"Churn"	"Yes"	0
6	0.913998646467802	14	14	"Churn"	"Yes"	0
7	0.912421303386081	14	14	"Churn"	"Yes"	0
8	0.896753747795415	14	14	"Churn"	"Yes"	0
9	0.895581349413829	14	14	"Churn"	"Yes"	0
10	0.896542800343485	14	14	"Churn"	"Yes"	0
11	0.934714460951342	14	14	"Churn"	"Yes"	0
12	0.869565771205115	13	14	"Churn"	"Yes"	0
13	0.861689149151243	14	14	"Churn"	"Yes"	0
14	0.896683958546541	14	14	"Churn"	"Yes"	0
15	0.903592208449279	14	14	"Churn"	"Yes"	0
16	0.897774925117672	14	14	"Churn"	"Yes"	0
17	0.91557699312909	14	14	"Churn"	"Yes"	0
18	0.887801028758476	14	14	"Churn"	"Yes"	0
19	0.916339350985664	14	14	"Churn"	"Yes"	0
20	0.898743077661012	14	14	"Churn"	"Yes"	0
21	0.910848714127403	14	14	"Churn"	"Yes"	0
22	0.903209667487685	14	14	"Churn"	"Yes"	0
23	0.926042042583905	14	14	"Churn"	"Yes"	0
24	0.911011516156733	14	14	"Churn"	"Yes"	0
25	0.900623984640378	14	14	"Churn"	"Yes"	0
26	0.923168480373105	14	14	"Churn"	"Yes"	0
27	0.901239354108207	14	14	"Churn"	"Yes"	0
28	0.914729222582407	14	14	"Churn"	"Yes"	0
29	0.89462069808668	14	14	"Churn"	"Yes"	0
30	0.890862161437383	14	14	"Churn"	"Yes"	0
1	0.88309959621435	15	15	"Churn"	"Yes"	0
2	0.911300150829563	15	15	"Churn"	"Yes"	0
3	0.899258518062397	15	15	"Churn"	"Yes"	0
4	0.923508669772257	15	15	"Churn"	"Yes"	0
5	0.903201515740381	15	15	"Churn"	"Yes"	0
