"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"SUBSAMPLED"	"propNA"
16	0.897165458141068	8	10	"Sleep"	"Yes"	0
17	0.929934210526316	10	10	"Sleep"	"Yes"	0
18	0.873026315789474	10	10	"Sleep"	"Yes"	0
19	0.947860962566845	10	10	"Sleep"	"Yes"	0
20	0.914802631578947	9	10	"Sleep"	"Yes"	0
21	0.924013157894737	10	10	"Sleep"	"Yes"	0
22	0.898813447593935	10	10	"Sleep"	"Yes"	0
23	0.897306397306397	10	10	"Sleep"	"Yes"	0
24	0.898026315789474	10	10	"Sleep"	"Yes"	0
25	0.859210526315789	9	10	"Sleep"	"Yes"	0
26	0.911997363216875	10	10	"Sleep"	"Yes"	0
27	0.88984214138641	10	10	"Sleep"	"Yes"	0
28	0.942524916943522	10	10	"Sleep"	"Yes"	0
29	0.948684210526316	10	10	"Sleep"	"Yes"	0
30	0.935526315789474	10	10	"Sleep"	"Yes"	0
1	0.871710526315789	10	11	"Sleep"	"Yes"	0
2	0.815253122945431	11	11	"Sleep"	"Yes"	0
3	0.897368421052632	10	11	"Sleep"	"Yes"	0
4	0.945514950166113	11	11	"Sleep"	"Yes"	0
5	0.875	9	11	"Sleep"	"Yes"	0
6	0.897435897435897	11	11	"Sleep"	"Yes"	0
7	0.897435897435897	10	11	"Sleep"	"Yes"	0
8	0.971052631578947	11	11	"Sleep"	"Yes"	0
9	0.846710526315789	10	11	"Sleep"	"Yes"	0
10	0.921791443850267	10	11	"Sleep"	"Yes"	0
11	0.909868421052632	10	11	"Sleep"	"Yes"	0
12	0.938492063492063	10	11	"Sleep"	"Yes"	0
13	0.907070707070707	10	11	"Sleep"	"Yes"	0
14	0.921555702043507	10	11	"Sleep"	"Yes"	0
15	0.866776315789474	11	11	"Sleep"	"Yes"	0
16	0.87109634551495	10	11	"Sleep"	"Yes"	0
17	0.917780748663102	11	11	"Sleep"	"Yes"	0
18	0.920634920634921	10	11	"Sleep"	"Yes"	0
19	0.891042780748663	11	11	"Sleep"	"Yes"	0
20	0.858974358974359	10	11	"Sleep"	"Yes"	0
21	0.920598006644518	10	11	"Sleep"	"Yes"	0
22	0.926630434782609	11	11	"Sleep"	"Yes"	0
23	0.897368421052632	11	11	"Sleep"	"Yes"	0
24	0.913770053475936	10	11	"Sleep"	"Yes"	0
25	0.900793650793651	11	11	"Sleep"	"Yes"	0
26	0.910526315789474	11	11	"Sleep"	"Yes"	0
27	0.922619047619048	10	11	"Sleep"	"Yes"	0
28	0.884210526315789	11	11	"Sleep"	"Yes"	0
29	0.871717171717172	9	11	"Sleep"	"Yes"	0
30	0.876767676767677	10	11	"Sleep"	"Yes"	0
1	0.897916666666667	12	12	"Sleep"	"Yes"	0
2	0.859261700725115	11	12	"Sleep"	"Yes"	0
3	0.962301587301587	12	12	"Sleep"	"Yes"	0
4	0.872368421052632	10	12	"Sleep"	"Yes"	0
5	0.884210526315789	10	12	"Sleep"	"Yes"	0
6	0.876984126984127	10	12	"Sleep"	"Yes"	0
7	0.922874093605801	11	12	"Sleep"	"Yes"	0
8	0.935526315789474	11	12	"Sleep"	"Yes"	0
9	0.930263157894737	12	12	"Sleep"	"Yes"	0
10	0.895847066578774	11	12	"Sleep"	"Yes"	0
11	0.846464646464646	9	12	"Sleep"	"Yes"	0
12	0.93173821252639	12	12	"Sleep"	"Yes"	0
13	0.91025641025641	12	12	"Sleep"	"Yes"	0
14	0.936497326203209	11	12	"Sleep"	"Yes"	0
15	0.936363636363636	11	12	"Sleep"	"Yes"	0
16	0.936507936507937	11	12	"Sleep"	"Yes"	0
17	0.935897435897436	10	12	"Sleep"	"Yes"	0
18	0.871710526315789	9	12	"Sleep"	"Yes"	0
19	0.93582704186685	11	12	"Sleep"	"Yes"	0
20	0.910678971654581	11	12	"Sleep"	"Yes"	0
21	0.876744186046512	10	12	"Sleep"	"Yes"	0
22	0.897435897435897	11	12	"Sleep"	"Yes"	0
